pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt,ESI_equal,ESI_sm,CDHS,mass_est,SEPHI_simple,recon_error,latent_dist,VAE_anomaly
NSVS 14256825 b,12.3,,2.4137931034482762,9.6678,40000.0,0.12,473.47,0.2521221436336437,0.06902725581652043,0.9999999999997045,18814.989735886786,7.283687206417824e-103,182.28287,40.56627764092443,1.9999999999999754
NY Vir b,13.3,730.978,0.3103448275862069,2.178,32780.0,0.15,338.12,0.3017953709549008,0.24877610649365123,0.8071272105568843,3058.3560479021503,0.8809662160288813,114.139305,30.408281311915193,1.3756870782394623
V0391 Peg b,13.1,,0.45190562613430135,9.375,29300.0,0.0,519.69,0.0,0.0,0.0,4255.4965671630525,3.264425644582205e-95,86.916214,27.168320294062838,1.1464458696932998
2MASS J19383260+4603591 b,13.4,603.877,0.25045372050816694,33.2985,29564.0,0.33,669.65,0.15917844346076532,0.014743920526287141,0.7212160068383864,2524.2391136693914,0.0,89.32477,24.706382710142687,1.0989659338902928
mu2 Sco b,12.3,4576.7290608,2.4500907441016335,0.1074,21700.0,0.56,159.05,0.2103513501565936,0.057613448552587924,0.5111396057059059,19097.921912366284,0.7902396382201681,44.014477,16.308744867056966,0.6433314732868898
DP Leo b,12.7,1995.88832,0.9709618874773139,0.0001,13500.0,0.39,24.39,0.06764155145404319,3.3653610802078185e-05,0.0,8331.092478470533,0.612797929080066,15.557489,8.133023336002067,0.28563726477330764
GJ 9066 c,9.6,,0.07531760435571688,0.0033,3154.0,0.46,65.66,0.09703630598956355,0.0011161600631263476,0.015707645455998225,279.1250451194347,0.617615919135354,5.077578,6.070724233120341,0.17729441216780978
GJ 3512 b,14.3,,0.04990925589836661,0.0138,3141.0,0.4279,97.19,0.11235248759324856,0.004873308724555851,0.01536036758026996,611.3329674321496,0.6361401689786926,4.721327,6.027059041186377,0.17426327093726815
GJ 3512 c,14.3,,0.04918330308529946,0.0005,3141.0,0.089,42.92,0.07711062218335998,0.0001620508360386402,0.015360367580269561,602.4408515422275,0.6133432367324393,5.3415976,5.4230322133825055,0.16277524371373986
GJ 9773 b,14.2,,0.06007259528130672,0.0021,3528.0,0.218,59.89,0.09242402207536879,0.0007203940374905717,0.02569856280385933,720.4934506223374,0.6161705400214922,4.324893,5.42311051498345,0.1571988052071007
GJ 680 b,12.0,7977.4930157,4.609800362976406,0.0003,3563.0,0.381,36.57,0.07324309827665249,9.641097713970064e-05,0.026633541700058577,33366.79285595651,0.6131409958198552,6.352782,4.770184736733281,0.1522284568632356
GJ 15 A c,6.67,,0.12105263157894738,0.0008,3607.0,0.27,46.14,0.0957831766141531,0.00029355239075607635,0.02780894374097594,150.46668263676557,0.6123493438278975,4.229338,5.142183814993158,0.1497487428207271
GJ 1148 c,9.71,,0.07422867513611615,0.0163,3287.0,0.342,99.38,0.14108590519041922,0.00692104284239833,0.019260565261521482,284.6544700960454,0.6398802906297016,3.6267142,5.158976575170884,0.14685631424824283
KIC 3526061 b,12.1,,3.248638838475499,0.6208,4829.0,0.85,248.63,0.28654490571363034,0.26255831280993513,0.06045306405940823,24107.165665203323,1.0,6.770299,4.445644797656355,0.14651826537023888
G 192-15 c,3.87,,0.24682395644283125,0.0016,2999.0,0.676,55.9,0.1113489436289793,0.0006284827290756387,0.011567024630013705,59.92510640825432,0.6101703195201262,6.7246957,4.348509967522598,0.14387335505414406
BD+42 2315 b,14.2,,0.06079854809437387,335.1294,4500.0,0.73,1247.58,0.08113100959543314,0.0008643515225732191,0.05166426243520287,729.2003201162629,0.0,4.9519424,4.490824511187385,0.1376552879829995
AB Aur b,12.5,2860.455663,1.4609800362976408,0.0067,9770.0,0.4,83.63,0.15702751788234187,0.003593671284703462,0.19244537051873287,11952.61497154692,0.624115669501706,6.376879,4.142359852770498,0.13688269793644933
GJ 179 b,13.8,301.93698665,0.11451905626134302,0.0028,3370.0,0.21,64.53,0.1109783300226665,0.0011338601267746687,0.021477800929630423,1260.6764175004182,0.6174270469968537,3.8702674,4.664043504199452,0.13599086998205323
Kepler-427 b,13.79,92.17,0.029038112522686028,208.721,5800.0,0.57,1100.0,0.0838116202786617,0.0013481055450534436,0.08639205000797567,318.9699656559869,0.0,3.8027756,4.58010328168265,0.13355115669636408
GJ 1148 b,11.9,,0.05716878402903811,0.4906,3287.0,0.38,232.94,0.23212691365217517,0.18358942721632512,0.01926056526152147,403.5417271330133,0.9994103666123136,2.9921246,4.746043075012442,0.13319431186645492
iot Dra b,12.4,,1.960072595281307,24.9999,4504.0,0.701,618.67,0.19953224523568058,0.0224775039182537,0.051771117166209926,15654.017731839383,0.0,4.2656813,4.394354921111709,0.13151167049546358
GJ 849 c,13.8,,0.11941923774954628,0.001,3467.0,0.092,50.41,0.1058312470093997,0.00042151850808326476,0.024069028156214863,1314.6197824330827,0.6143403100931184,4.1846247,4.350981649655341,0.12999764025280658
GJ 163 d,5.92,,0.1413793103448276,0.0184,3500.0,0.373,106.43,0.17567088295116198,0.009310668548327877,0.024950579686909412,122.86822611812418,0.6418690615016258,3.1204896,4.555356280934839,0.12919754991344679
HD 26161 b,11.9,9045.39646322,5.353901996370237,0.0243,6057.62,0.922,110.98,0.15173822760938954,0.010757702661876565,0.09327402895762554,37792.00301721871,0.6542132175104138,9.1790495,3.2050027078569854,0.12914843125589417
HD 62364 c,12.0,7923.46218651,4.573502722323049,0.002,6255.0,0.773,58.7,0.09780920462935806,0.000720783776645612,0.09854677565848194,33104.06220354741,0.6160568689412488,8.230276,3.397142794959119,0.12867967522936974
GJ 433 c,6.27,,0.13121597096188747,0.0009,3461.0,0.12,53.76,0.11600765002901965,0.0003951863642791593,0.02390874605972525,135.4808554637806,0.6122673952547739,3.889998,4.328198328674619,0.12781942343451436
HD 1690 b,12.5,,1.4264972776769511,17.8958,4374.0,0.64,841.73,0.2241968717164752,0.03398175637009483,0.048298338408929595,11670.503562280595,0.0,3.5334866,4.304334323539376,0.12527501883862788
HD 87816 b,12.7,,1.043557168784029,17.2656,4989.0,0.78,567.39,0.227378723650803,0.03552696233769471,0.06472725329913194,8953.9778974216,0.0,4.8081703,3.91143327779616,0.12258252623739985
HIP 38594 c,7.94,,0.09637023593466426,0.006,4086.3,0.16,79.96,0.1490112515542881,0.0028948653076502425,0.040612811882232605,202.06590431456135,0.6218124132985943,2.8694618,4.312699398518164,0.12183793054553006
HD 113538 b,13.2,,0.04954627949183304,0.0585,4462.0,0.14,140.67,0.1937504122649924,0.029752759292409316,0.05064914249076369,477.33299025665076,0.711528517849014,2.4560018,4.362420616565615,0.12079518649142836
HIP 948 b,12.1,6547.2651842,3.68421052631579,0.0008,4497.0,0.23,46.4,0.10431209532365494,0.0003353377518486429,0.051584121386970626,27339.41134098478,0.613998643574185,4.601894,3.867834800532171,0.12037589794409573
HIP 66074 b,12.9,1589.142035,0.7386569872958259,0.2381,4300.0,0.948,192.69,0.2682607959516317,0.13304572368387252,0.046321525885551634,6642.025683049976,0.9511472037828663,7.846877,3.1053636058901803,0.11938274087770316
GJ 832 b,13.8,314.65012293,0.11941923774954628,0.0019,3472.0,0.05,57.84,0.13267390971144152,0.0009504856913600669,0.024202596569956443,1314.6197824330827,0.6158839701052756,3.8434052,3.9840022423785415,0.11907820155735217
HD 153557 d,11.9,8725.661085778,5.172413793103448,0.0006,4837.0,0.152,43.47,0.10168354832417799,0.00024930507389194813,0.06066677352139384,36510.91816917739,0.6136555878846754,4.819188,3.733260246656794,0.11825041717096978
PZ Tel b,11.9,8581.366989,5.081669691470054,0.0014,5169.0,0.52,53.77,0.09652300531340995,0.0005128883019211592,0.06953571619382967,35870.375745156736,0.6150277809004491,5.9288087,3.456463930168147,0.1175146379834092
Kepler-203 c,2.47,749.9,49.54627949183303,329.788,5821.0,0.0,1096.0,0.0,0.0,0.0,3127.451023420456,0.0,4.41325,3.7539261320402377,0.1165326329075669
TYC 2187-512-1 b,12.5,,0.05353901996370236,0.0279,3734.0,0.05,114.69,0.20016884794495376,0.016072716927367326,0.0312015814500077,438.0150828082411,0.6600046393697224,2.9028106,4.050182800215307,0.11554899609497933
Kepler-453 b,6.204,16.0,0.015996169814330014,0.9636,5527.0,0.0359,273.62,0.350993214332733,0.36751669149458704,0.07909921461768175,16.0,0.8132267766915227,2.3280041,4.166983218989695,0.11527471586657782
HD 105618 c,11.9,8419.592329837,4.990925589836661,0.0012,5671.0,0.126,51.64,0.12353279495136645,0.0005685582815795747,0.08294598493347569,35229.83332113609,0.6146847403044321,4.326775,3.721688162305532,0.11526339716746477
HD 14067 b,12.2,4862.7746271,2.6678765880217785,2.9812,4815.0,0.65,360.28,0.2853002383291499,0.17811879327424618,0.06007907250093175,20292.4197535354,0.02125817482376323,4.0309877,3.752677036526606,0.11440447402286473
HATS-46 b,10.121727,54.98459,0.05081669691470055,209.7699,5495.0,0.559,1054.0,0.09863235699716472,0.0015548771921274909,0.07824437676975213,220.7287481536113,0.0,3.053965,3.939352602922701,0.11364600491082688
BD-210397 b,14.0,,0.07785843920145191,0.02,4051.0,0.1,104.11,0.17790420226834625,0.010723153707450576,0.03966981888121747,894.9080395843238,0.6468587334999986,2.6992996,4.013645508320452,0.11353162267458833
HIP 39017 b,12.0,7500.7504052,4.337568058076225,0.0115,7201.0,0.55,91.06,0.14706148376507225,0.0053611884248115855,0.12381791953837315,31396.312962888216,0.6323394023177229,5.4851217,3.3569657626761873,0.1126272922910659
GJ 2126 b,13.6,,0.16388384754990926,0.2833,4159.0,0.85,203.08,0.22283564574364598,0.1241459383677146,0.04255489661803657,1726.7977968047462,0.9823615834656864,6.5700226,3.112788640310201,0.11256005650381955
HD 219134 h,12.7,,0.05263157894736842,0.0321,4913.0,0.06,117.88,0.2051570484452742,0.01850492216340489,0.06269701341024284,451.59192873952423,0.6671597942783254,2.4721484,4.021346460432773,0.11247516325921764
HAT-P-13 c,12.3,,2.431941923774955,1.4016,5653.0,0.6616,340.0,0.3237050162584613,0.31997815085958325,0.08246513864400576,18956.455824126533,1.0,4.159772,3.6351019921489116,0.11221246086463733
GJ 676 A b,12.8,1840.862133344,0.8747731397459166,0.0301,3734.0,0.319,113.55,0.2280943164145827,0.020251261369752565,0.03120158145001505,7684.47067545232,0.6640857209645051,2.7566555,3.933806998531202,0.11187803293996616
GJ 849 b,13.9,,0.10544464609800362,0.0048,3467.0,0.029,73.63,0.16807070051447387,0.0028039843892785055,0.024069028156214874,1186.1989727648197,0.620855522476103,3.4636486,3.7635916309270256,0.11156072681155582
HATS-62 b,11.825495,56.89157,0.013793103448275862,387.4,5416.0,0.298,1237.0,0.07416593440903768,0.000664533645717521,0.07613399583262186,95.54513736019426,0.0,2.8894982,3.8877072698568442,0.11147039071501749
HD 135344 A b,16.25302201,3178.28407,0.7386569872958259,0.061,9540.0,0.5,1585.0,0.22306751387930396,0.037568318943563495,0.18630122348661787,13284.15058946222,0.7159936362356685,5.7741175,3.242737845247604,0.11139683323607114
GJ 676 A c,12.3,4288.140867244,2.304900181488203,0.001,3734.0,0.295,47.96,0.10887235339218612,0.0004347868378178057,0.031201581450016672,17966.19320644828,0.6143416944548707,4.6613307,3.4674725553355117,0.11083174546764037
HIP 97233 b,12.1,6098.173645109,3.4301270417422867,2.5778,5020.0,0.63,354.42,0.2840822436495093,0.19468530705954254,0.06555537746433446,25453.93469677893,0.26304994497134554,4.0047693,3.608426297895943,0.11070436021326041
HIP 54515 b,12.2,5625.5628039,3.0852994555353903,0.0171,8100.0,0.42,100.72,0.17385761119686216,0.009152204988674244,0.14783352032908958,23467.42420476883,0.6419212540873479,4.749026,3.4424998867423646,0.11069724440808619
GJ 649 b,10.8,,0.06497277676950998,0.0352,3734.0,0.083,120.74,0.20588306049059754,0.02013919893310397,0.03120158145000833,342.83985563516717,0.6722219341861257,2.5997505,3.920673459828676,0.11069335424838916
BD+37 3172 b,12.4,,1.7622504537205084,31.9959,4500.0,0.59,713.25,0.19946821664363057,0.018082021313917757,0.051664262435216386,14074.121497792632,0.0,3.1136415,3.7880839552576817,0.11024415526673412
HD 457 b,11.9,8445.336430804,4.990925589836661,0.0088,6114.04,0.565,85.15,0.138183600658078,0.003922466393704387,0.09478121493828341,35229.83332113609,0.6277145462740797,5.4395676,3.202811661136838,0.10857693688231443
HIP 34222 b,13.9,,0.09800362976406535,0.3832,4050.0,0.305,218.98,0.25767932856629333,0.17609935982422076,0.03964310519847081,1102.4912999879566,0.9999924572284975,2.060836,3.941089587525559,0.10823980893228315
HD 10975 b,14.3,,0.04882032667876589,68.2992,4840.0,0.442,799.92,0.11844699761106688,0.005334950836775527,0.06074691456962041,597.9947935972665,0.0,2.4077427,3.855786051948814,0.10804017166375503
HD 164604 b,12.3,4195.3349724,2.250453720508167,0.1402,4663.0,0.479,170.16,0.2674905476164506,0.08710260293699464,0.05601859272318821,17541.79494172903,0.8385641793333141,3.1848931,3.676768453766449,0.10789079451495456
HD 156279 b,12.5,,1.52994555353902,2.8355,5453.0,0.647,361.73,0.31258559065862995,0.2025758426953496,0.07712240209434354,12516.83779007957,0.06128372309062609,3.6400657,3.5591182265200634,0.10748772704884449
HD 76920 b,13.1,,0.44101633393829404,24.7841,4664.0,0.8782,621.44,0.186318635581892,0.021188526421685356,0.056045306405931306,4152.954481207316,0.0,5.9823422,3.014809060486232,0.1069200969454466
BD-08 2823 c,12.5,,0.05317604355716878,0.5117,4746.0,0.19,233.85,0.27153185746615544,0.21812268176365307,0.058235828391279505,435.0454890264903,0.9994705264011201,1.7566907,3.9219015244617745,0.10609800050302552
HIP 57274 d,14.2,,0.05825771324863884,1.5183,4640.0,0.27,183.59,0.26025355124153493,0.24494858856332108,0.05540417801996157,698.7262768875235,0.9998905890209064,1.77896,3.915312580893433,0.10605774593779839
BD-11 4672 b,14.1,,0.07350272232304901,0.0282,4550.0,0.05,114.17,0.21305224935526726,0.017390339224730218,0.052999946572614996,863.0766588010639,0.66083188264277,2.4367316,3.766375067420304,0.10599494587783444
iot Dra c,12.2,,2.722323049001815,0.1402,4504.0,0.455,169.31,0.26231315316256587,0.08529839309616812,0.051771117166209406,20706.550768913672,0.8385641793333141,3.1850386,3.5869432830869914,0.10567710173945682
BD-06 1339 c,8.38,,0.08983666061705989,0.5024,4324.0,0.31,261.91,0.2901815580128686,0.22565722093592622,0.04696265427150284,221.4492762661938,0.9984530597473784,1.7157074,3.8880955578988283,0.10503970658776349
GJ 876 c,14.0,226.9846,0.08257713248638839,0.7384,3293.74,0.25591,241.66,0.27375055609382015,0.2783800534574539,0.019440615483245684,949.1448904682221,0.9999804868657969,2.2395296,3.7662067725423447,0.10490880583848365
HD 218566 b,9.32,,0.07822141560798548,0.7414,4730.0,0.3,253.15,0.2960263054258045,0.28818247112488976,0.05780840946730908,265.254046381517,0.9988242021044693,1.5992107,3.8893355448944376,0.10443109202396952
